,idx,name,eans,slug
11804,100130800000,Noxana sans sucre,7616500092655,supermarche/denrees-alimentaires/chocolat/chocolat/tablettes-de-chocolat
11805,100130800000,Noxana sans sucre,7616500357327,supermarche/denrees-alimentaires/chocolat/chocolat/tablettes-de-chocolat
11806,100130800000,Noxana sans sucre,7616500392298,supermarche/denrees-alimentaires/chocolat/chocolat/tablettes-de-chocolat
11807,100130800000,Noxana sans sucre,7616500378445,supermarche/denrees-alimentaires/chocolat/chocolat/tablettes-de-chocolat
11808,102004000000,Cristal Sucre en morceaux,7610200010100,supermarche/denrees-alimentaires/boulangerie/ingredients-de-boulangerie/sucre-edulcorants
11809,102004000000,Cristal Sucre en morceaux,7610278033100,supermarche/denrees-alimentaires/boulangerie/ingredients-de-boulangerie/sucre-edulcorants
11810,102004000000,Cristal Sucre en morceaux,7617027735278,supermarche/denrees-alimentaires/boulangerie/ingredients-de-boulangerie/sucre-edulcorants
11811,102004000000,Cristal Sucre en morceaux,7617015025039,supermarche/denrees-alimentaires/boulangerie/ingredients-de-boulangerie/sucre-edulcorants
11812,101067100000,Cassis Pastilles gorge sugarfree,7610167620213,supermarche/denrees-alimentaires/chocolat/bonbons-chewing-gum
11813,101067100000,Cassis Pastilles gorge sugarfree,23000285,supermarche/denrees-alimentaires/chocolat/bonbons-chewing-gum
11814,101067100000,Cassis Pastilles gorge sugarfree,7617015018321,supermarche/denrees-alimentaires/chocolat/bonbons-chewing-gum
11815,101221100000,Carambar Family,7622210104588,supermarche/denrees-alimentaires/chocolat/bonbons-chewing-gum
11816,101221100000,Carambar Family,3538281300252,supermarche/denrees-alimentaires/chocolat/bonbons-chewing-gum
11817,101221100000,Carambar Family,7640118678154,supermarche/denrees-alimentaires/chocolat/bonbons-chewing-gum
11818,101221100000,Carambar Family,7622210104595,supermarche/denrees-alimentaires/chocolat/bonbons-chewing-gum
11819,101221100000,Carambar Family,13538281300259,supermarche/denrees-alimentaires/chocolat/bonbons-chewing-gum
11820,131123000000,Anna's Best Carottes cuites,7617027633468,supermarche/denrees-alimentaires/plats-cuisines/pizza-menus-snacks/legumes
11821,131123000000,Anna's Best Carottes cuites,7617027633475,supermarche/denrees-alimentaires/plats-cuisines/pizza-menus-snacks/legumes
11822,104262900000,Alnavit barre Chanvre et maca,42304685,supermarche/denrees-alimentaires/mueesli-cereales/barres-de-cereales
11823,104262900000,Alnavit barre Chanvre et maca,4260012975574,supermarche/denrees-alimentaires/mueesli-cereales/barres-de-cereales
11824,106051700000,Bon Chef Oxtail,7613269297277,supermarche/denrees-alimentaires/garnitures-ingredients/soupes-sauces-bouillon/soupes
11825,106051700000,Bon Chef Oxtail,7610121301707,supermarche/denrees-alimentaires/garnitures-ingredients/soupes-sauces-bouillon/soupes
11826,106051700000,Bon Chef Oxtail,7610121949404,supermarche/denrees-alimentaires/garnitures-ingredients/soupes-sauces-bouillon/soupes
11827,106051700000,Bon Chef Oxtail,7613312108031,supermarche/denrees-alimentaires/garnitures-ingredients/soupes-sauces-bouillon/soupes
11828,106051700000,Bon Chef Oxtail,7613269297284,supermarche/denrees-alimentaires/garnitures-ingredients/soupes-sauces-bouillon/soupes
11829,110119600000,Alnatura florentins Epeautre lait entier,4104420053366,supermarche/denrees-alimentaires/chocolat/sain-bio
11830,110119600000,Alnatura florentins Epeautre lait entier,7613269432487,supermarche/denrees-alimentaires/chocolat/sain-bio
11831,110119600000,Alnatura florentins Epeautre lait entier,4104420053373,supermarche/denrees-alimentaires/chocolat/sain-bio
11832,110119600000,Alnatura florentins Epeautre lait entier,7613269432494,supermarche/denrees-alimentaires/chocolat/sain-bio
11833,243150200000,M-Classic emince poulet,2129644000004,supermarche/denrees-alimentaires/viande/volaille
11834,243150200000,M-Classic emince poulet,7617023011147,supermarche/denrees-alimentaires/viande/volaille
11835,243150200000,M-Classic emince poulet,7617023021146,supermarche/denrees-alimentaires/viande/volaille
11836,210712000000,Swiss-Style Nature Fromage fondu,7617067006673,supermarche/denrees-alimentaires/produits-laitiers-oeufs/fromages/fromage-fondu
11837,210712000000,Swiss-Style Nature Fromage fondu,76226076,supermarche/denrees-alimentaires/produits-laitiers-oeufs/fromages/fromage-fondu
11838,210712000000,Swiss-Style Nature Fromage fondu,7617068006085,supermarche/denrees-alimentaires/produits-laitiers-oeufs/fromages/fromage-fondu
11839,158539300000,Göral graines de courge,8696000010105,supermarche/denrees-alimentaires/garnitures-ingredients/du-monde-entier/turquie
