id,name,barcode,category,Énergie (kJ),Sel (g),Protéines (g),Sucres (g),Glucides (g),Matières grasses (g),Acides gras saturés (g),Fibres alimentaires (g),Biotine (µg),Vitamine B1 (Thiamine) (mg),Vitamine E (Tocopherol) (mg),Acide folique (µg),Vitamine A (µg),Vitamine D (Cholacalciferol) (µg),Vitamine C (Acide ascorbique) (mg),Vitamine B6 (Pyridoxine) (mg),Vitamine B5 (acide pantothénique) (mg),Vitamine B3 (Niacine) (mg),Vitamine B2 (Riboflavine) (mg),Vitamine B12 (Cobalamine) (µg)
88,M-Budget Fromage à pâte molle,7610200401366,/produits-laitiers-oeufs/fromages,1390.0,1.0,18.0,0.6,0.6,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Petit pain de Sils,7613312087053,TO_CLASSIFY,943.0,1.8,2.0,0.9,50.0,0.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,YOU LOW CARB CRUNCHY ,7613312147115,/mueesli-cereales/cereales,2439.0,0.05,13.0,18.0,23.0,47.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,ALTANATURA Dinkel Vollkorn Mehl Bioland,4104420140684,/boulangerie/farine,1440.0,0.02,12.3,1.0,62.4,2.7,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,M Classic Pikant Sauce š Salade Sans Huile,7613269181644,/garnitures-ingredients/soupes-sauces-bouillon,50.0,4.3,0.9,0.5,0.8,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Bifidus joghurt Myrtille,7616600711197,/produits-laitiers-oeufs/yogourt,410.0,0.1,3.5,13.0,14.0,2.8,1.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Farmer Croc Chocolat,7610200085047,/mueesli-cereales/mueesli,1921.0,0.58,7.0,24.0,64.0,18.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,M Classic Petits pains croustillants,7613269370314,/boulangerie/biscottes-pain-croustillant,1656.0,1.7,12.0,8.0,70.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Yupi Pfirsichringe,4003084010312,/chocolat/divers,1404.0,0.2,4.5,52.0,78.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Alnatura Coulis de mangue,4104420021167,/boulangerie/ingredients-de-boulangerie,472.0,0.1,0.7,25.0,25.4,0.4,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Migros Bio Birchermüesli Yogourt,7616600706315,/produits-laitiers-oeufs/yogourt,480.0,0.1,3.5,15.0,17.0,3.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,M-Classic Joghurt Pomme/Mangue,22016287,/produits-laitiers-oeufs/yogourt,420.0,0.1,3.0,15.0,15.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,M Classic Cornichons au vinaigre,7613269106098,/garnitures-ingredients/legumes-legumes-au-vinaigre,120.0,1.6,1.0,3.5,4.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,M-Classic Sauce à Salade,7616600711807,/plats-cuisines/pizza-menus-snacks,890.0,2.1,1.0,0.5,0.9,23.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,M Classic Chou rouge- cuit,7613269552550,/plats-cuisines/pizza-menus-snacks,169.0,1.3,0.8,7.0,8.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Migros BIO Sirop fruits rouges,7613312025437,/boissons-chaudes-froides/sirop-soda,204.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Migros Florida Coupes,7610666000660,/chocolat/specialites,0.0,0.1,0.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,SUN QUEEN MÉLANGE DE NOIX,7613312022832,/boulangerie/ingredients-de-boulangerie,2700.0,0.1,17.0,4.5,12.0,58.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,M Classic Haricots verts fins,7610200244598,/garnitures-ingredients/legumes-legumes-au-vinaigre,120.0,0.7,2.0,1.0,1.0,0.5,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,M-Budget Tomates pelées ,7613269007234,/garnitures-ingredients/tomates-en-conserve,110.0,0.0,1.5,4.5,4.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Pâte à pizza XL,7616700186963,/boulangerie/ingredients-de-boulangerie,1089.0,1.9,8.0,2.0,44.0,5.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Patissier Massepain,7613312011157,/boulangerie/ingredients-de-boulangerie,1931.0,0.0,6.0,61.0,67.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,M Budget Truite Saumonée,7617027780513,/poisson-fruits-de-mer/traiteur,712.0,3.0,20.0,0.5,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Migros Bio Crevettes,7640124316774,/produits-surgeles/poisson-fruits-de-mer,403.0,0.75,21.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Mbudget VANILA-COLA,7613312061442,/boissons-chaudes-froides/boissons-sucrees,187.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Pancho Villa Guacamole Style Medium,8410076420268,/garnitures-ingredients/du-monde-entier,415.0,0.77,2.0,3.5,10.0,5.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
