category,Énergie (kJ),Sel (g),Protéines (g),Sucres (g),Glucides (g),Matières grasses (g),Acides gras saturés (g),Fibres alimentaires (g),Biotine (µg),Vitamine B1 (Thiamine) (mg),Vitamine E (Tocopherol) (mg),Acide folique (µg),Vitamine A (µg),Vitamine D (Cholacalciferol) (µg),Vitamine C (Acide ascorbique) (mg),Vitamine B6 (Pyridoxine) (mg),Vitamine B5 (acide pantothénique) (mg),Vitamine B3 (Niacine) (mg),Vitamine B2 (Riboflavine) (mg),Vitamine B12 (Cobalamine) (µg)
/CHOCOLAT/BONBONS_CHEWING_GUM,0.14070449054006468,-0.3267463938359917,-0.9344422323100141,1.3581428483795188,1.9723001862943597,-0.7494654749716255,-0.32082708881284344,0.005347304734807169,-0.032219530455219234,-0.0920329805010965,-0.1502142422429628,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,4.4619510162496905,-0.10356419018064116,-0.0335635622887846,-0.0953864498325573,-0.08776335177057418,-0.10215026804939273
/PETIT_DEJEUNER/CACAO_CHOCOLATS_EN_POUDRE,0.6166777548979793,-0.26136639021007513,0.06441606592218813,2.922959436490601,1.461960134339535,-0.48676428188800736,-0.26659443633121627,1.0154732463676894,0.17093134732298282,1.483614696759478,1.4264797539334584,5.585567560142923,2.7653013277614513,3.237534210293804,2.3243872602875935,-0.05274429697624591,2.074846645099634,1.6122002232097166,1.759139960624477,1.9140810923702636
/BOISSONS_CHAUDES_FROIDES/BOISSONS_ENERGETIQUES,-1.2358538717552001,-0.3111331263413892,-0.385365052341382,-0.33121276044441167,-0.9168042228662515,-0.805990885224808,0.0604448922701117,-0.3119927326023703,-0.03479922414129165,0.3899015856498221,0.27781152216100824,0.6331320351922148,0.26192424054148283,0.8090119347692164,0.5475368083683129,0.10451628297391895,3.070816622669092,2.5319819573613644,0.40214171219759803,5.447180618196118
/CHOCOLAT/CHOCOLAT,1.7898260573177103,-0.3067890977172827,-0.217797355187799,2.34963811473074,0.9157303865572011,1.6300553405652503,2.6630901160574703,0.004504184405292658,-0.09340576698047452,-0.13390726614463747,-0.19141287556904255,-0.09934982001154727,-0.13158603204283306,-0.14593348540398748,-0.17926760736262703,-0.10491361366811189,-0.14689645978455093,-0.14064778545179757,-0.1298366784685828,-0.1555660566295048
/CHOCOLAT/SAIN_BIO,1.3109951058592721,-0.18914846518671816,0.08541995522710764,0.9544445797315209,1.097128749538953,0.8353431108477345,2.122297018086756,0.5142871114504216,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/GARNITURES_INGREDIENTS/TOMATES_EN_CONSERVE,-1.2531671497318644,-0.28752036709372464,-0.7272508527998639,-0.07568748077183075,-0.7593512916473033,-0.8048067126792506,-0.4983157696618054,-0.31005765100037314,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/GARNITURES_INGREDIENTS/DU_MONDE_ENTIER,-0.14152889665863078,0.6433503226702421,-0.3073867513957576,-0.21784550626749988,0.05434737074018474,-0.1935750962843009,-0.0789911370719039,-0.1212375750941544,-0.10961034103739145,-0.10533455683273038,-0.22217654238793866,-0.16412760918922356,-0.18552425966102948,-0.20893153401354467,-0.13519520502552174,-0.10221700094020189,-0.0858412488654841,-0.1176015415902611,-0.10604667325588092,-0.15283831817828883
/CHOCOLAT/BISCUITS_GAUFRES,1.5096165350834103,-0.24812328511047482,-0.18437494150907474,1.3887919377983844,1.306335425219189,0.9600799213848201,1.8314648449678146,-0.05090848743879115,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/PRODUITS_SURGELES/PLATS_CUISINES,-0.6600898841446591,-0.03490423822174341,-0.28908028555418275,-0.5982506742266044,-0.5049421758836852,-0.37587310173292704,-0.23419570887465974,-0.27909634536841843,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/PLATS_CUISINES/PIZZA_MENUS_SNACKS,-0.6030646385491466,-0.04863653484807083,-0.34667133131124345,-0.4921108764282046,-0.5443746819767266,-0.23401333008826974,-0.4034272091297669,-0.23636896567406904,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.16403745707625392,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
