id,name,barcode,category,Énergie (kJ),Sel (g),Protéines (g),Sucres (g),Glucides (g),Matières grasses (g),Acides gras saturés (g),Fibres alimentaires (g),Biotine (µg),Vitamine B1 (Thiamine) (mg),Vitamine E (Tocopherol) (mg),Acide folique (µg),Vitamine A (µg),Vitamine D (Cholacalciferol) (µg),Vitamine C (Acide ascorbique) (mg),Vitamine B6 (Pyridoxine) (mg),Vitamine B5 (acide pantothénique) (mg),Vitamine B3 (Niacine) (mg),Vitamine B2 (Riboflavine) (mg),Vitamine B12 (Cobalamine) (µg),endline
839,MIGROS BIO Orange Yogurt ,7613269696759,/produits-laitiers-oeufs/yogourt,420.0,0.1,3.5,14.0,14.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
840,,7613269696766,/produits-laitiers-oeufs/yogourt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
841,Migros Léger VIANDE HACHEE,7617100217752,/viande,550.0,0.0,21.0,1.0,1.0,5.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
842,,7617100724229,/viande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
843,FARMER : Soft Choc : Orange,7613269185734,/mueesli-cereales/barres-de-cereales,1900.0,0.4,8.0,44.0,61.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
844,,7610121600480,/mueesli-cereales/barres-de-cereales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
845,,7613269185741,/mueesli-cereales/barres-de-cereales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
846,,7610121932338,/mueesli-cereales/barres-de-cereales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
847,,8033182651458,/aperitif/snacks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
848,,8033182651472,/aperitif/snacks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
849,,7617500190488,/boissons-chaudes-froides/boissons-sucrees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
850,,8938,/boissons-chaudes-froides/boissons-sucrees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
851,,7613269189251,/boissons-chaudes-froides/boissons-sucrees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
852,,7617027005586,/boissons-chaudes-froides/boissons-sucrees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
853,,7613269189268,/boissons-chaudes-froides/boissons-sucrees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
854,,7613312156971,/aperitif/noix-grillees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
855,,7613312156988,/aperitif/noix-grillees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
856,Farmer Plus Cranberry - Protéine,7613312093320,/mueesli-cereales/barres-de-cereales,1873.0,0.53,22.0,29.0,44.0,19.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
857,,7613312093337,/mueesli-cereales/barres-de-cereales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
858,Alnatura Bourbon Vanille gemahlen Vanille Bourbon en poudre,42276869,/boulangerie/ingredients-de-boulangerie/boulangerie-desserts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
859,,7613312048009,/boulangerie/ingredients-de-boulangerie/boulangerie-desserts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
860,,4104420169869,/boulangerie/ingredients-de-boulangerie/boulangerie-desserts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
861,,4104420138193,/boulangerie/ingredients-de-boulangerie/boulangerie-desserts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
862,Cornets Vanille \u0026 Chocolat,7617400048322,/produits-surgeles/glace-entremets,1063.0,0.28,3.0,28.0,39.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
863,,7613269183709,/produits-surgeles/glace-entremets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
864,,7624200015362,/produits-surgeles/glace-entremets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
865,,7613269183716,/produits-surgeles/glace-entremets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
866,Fruttolino Frucht-Riegel,5707653001075,/mueesli-cereales/barres-de-cereales,1400.0,0.0,2.5,59.0,66.0,4.5,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
867,,5707653477801,/mueesli-cereales/barres-de-cereales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
868,ALNATURA Spirelli à l'épeautre,4104420137202,/garnitures-ingredients,1513.0,0.01,12.0,2.7,72.0,1.7,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
869,,7613269431343,/garnitures-ingredients,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
870,,4104420137219,/garnitures-ingredients,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
871,,7613269431350,/garnitures-ingredients,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
872,Sun Queen Premium Nuts Mélange de noix au curry,7613312069950,/aperitif/noix-grillees,2610.0,1.1,12.0,6.0,17.0,56.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
873,,7613312069967,/aperitif/noix-grillees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
874,Migros Subito Chili con carne,7616800835860,/plats-cuisines/plats-cuisines,543.0,1.0,6.0,2.0,11.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
875,,7616800626918,/plats-cuisines/plats-cuisines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
876,,7613269293422,/boulangerie/biscottes-pain-croustillant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
877,,7300400121057,/boulangerie/biscottes-pain-croustillant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
878,,7613269293439,/boulangerie/biscottes-pain-croustillant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
879,,7300400715638,/boulangerie/biscottes-pain-croustillant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
880,,7610095225405,/aperitif/biscuits-aperitifs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
881,,7610095225412,/aperitif/biscuits-aperitifs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
882,M Budget Saucisse À Rôtir De Volaille,7617027959308,/viande/produits-de-charcuterie/charcuterie-en-tranches-produits-carnes-crus-et-saucisses-de,910.0,2.0,13.0,1.0,1.5,18.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
883,,7617027962810,/viande/produits-de-charcuterie/charcuterie-en-tranches-produits-carnes-crus-et-saucisses-de,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
884,MIGROS SÉLECTION FILET DE DOS DE SAUMON SAUVAGE,7613269475347,/poisson-fruits-de-mer/traiteur,450.0,4.0,23.0,0.0,0.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
885,,7613269475354,/poisson-fruits-de-mer/traiteur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
886,Creme d'or crème glacée aux  baies des bois,7617400044720,/produits-surgeles/glace-entremets,800.0,0.1,3.5,28.0,30.0,6.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
887,,7624200008272,/produits-surgeles/glace-entremets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
888,,2130589000004,/viande/viande-sechee-jambon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
889,,7617027556187,/viande/viande-sechee-jambon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
890,,7617027370820,/viande/viande-sechee-jambon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
891,,42270997,/garnitures-ingredients,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
892,,7613269435952,/garnitures-ingredients,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
893,,4104420131163,/garnitures-ingredients,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
894,,4104420131170,/garnitures-ingredients,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
895,,7613269435969,/garnitures-ingredients,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
896,Migros Bio Spaghetti,7613269373513,/garnitures-ingredients/pates,1529.0,0.45,14.0,2.5,68.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
897,,7613269373520,/garnitures-ingredients/pates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
898,,7613269831105,/boulangerie/pains/pains-longs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
899,,7613269831112,/boulangerie/pains/pains-longs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
900,Super Mix mélange de banane d'Aronia.Graines de Tournesol- Noix de coco et Graines de Grenade,7613312112656,/boulangerie/ingredients-de-boulangerie/noix-fruits-secs,1980.0,0.04,11.0,24.0,36.0,29.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
901,,7613312112663,/boulangerie/ingredients-de-boulangerie/noix-fruits-secs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
902,,7613269906643,/produits-laitiers-oeufs/fromages/fondue-raclette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
903,,7613269906650,/produits-laitiers-oeufs/fromages/fondue-raclette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
904,,7613269917762,/plats-cuisines/pizza-menus-snacks/soupes-pizzas-sauces-bio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
905,,7613269917779,/plats-cuisines/pizza-menus-snacks/soupes-pizzas-sauces-bio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
906,aproz Classic,7610200337481,/boissons-chaudes-froides/eau-minerale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
907,,2135517000002,/produits-laitiers-oeufs/fromages/fromages-a-pate-molle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
908,,7617067001470,/produits-laitiers-oeufs/fromages/fromages-a-pate-molle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
909,,7617068000045,/produits-laitiers-oeufs/fromages/fromages-a-pate-molle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
910,Émincé de poitrine de poulet mariné,7613269181071,/produits-surgeles/viande/volaille,410.0,1.5,20.0,1.0,1.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
911,,7610745801041,/produits-surgeles/viande/volaille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
912,,7613269181088,/produits-surgeles/viande/volaille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
913,,7610745801140,/produits-surgeles/viande/volaille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
914,,2186364000004,/plats-cuisines/convenience,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
915,,7617027763783,/plats-cuisines/convenience,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
916,,7617027763776,/plats-cuisines/convenience,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
917,,7610200083357,/poisson-fruits-de-mer/fruits-de-mer-crevettes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
918,,7617015132713,/poisson-fruits-de-mer/fruits-de-mer-crevettes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
919,Anna's Best Gazpacho verde Concombres,7613269684183,/plats-cuisines/pizza-menus-snacks/soupes,238.0,0.56,0.5,2.0,9.0,2.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
920,,7613269684190,/plats-cuisines/pizza-menus-snacks/soupes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
921,,011210125650,/garnitures-ingredients/epices-herbes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
922,,30011210000156,/garnitures-ingredients/epices-herbes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
923,,2182536000001,/viande/veau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
924,,7617027592390,/viande/veau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
925,,7617027592406,/viande/veau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
926,,7613269895053,/boulangerie/ingredients-de-boulangerie/pate-confiserie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
927,,7613269895060,/boulangerie/ingredients-de-boulangerie/pate-confiserie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
928,Migros Espresso Classico all'italiana,7610200279002,/boissons-chaudes-froides/cafe/cafe-en-poudre-en-grains,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
929,,7617014003038,/boissons-chaudes-froides/cafe/cafe-en-poudre-en-grains,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
930,,7613312105597,/boissons-chaudes-froides/cafe/cafe-en-poudre-en-grains,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
931,,7617015007806,/boissons-chaudes-froides/cafe/cafe-en-poudre-en-grains,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
932,Pain Création LE RUSTIQUE,7616700172614,/boulangerie/pains/premium,1040.0,1.6,11.0,5.0,42.0,3.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
933,,7616700172621,/boulangerie/pains/premium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
934,Migros Séléction Rachlachs Symphonie,7613269377368,/poisson-fruits-de-mer/traiteur,873.0,1.8,20.0,3.0,3.0,13.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
935,,7613269377375,/poisson-fruits-de-mer/traiteur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
936,,2155348000002,/produits-laitiers-oeufs/fromages/fromages-a-pate-dure-mi-dure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
937,,7617067022710,/produits-laitiers-oeufs/fromages/fromages-a-pate-dure-mi-dure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
938,,7617068022511,/produits-laitiers-oeufs/fromages/fromages-a-pate-dure-mi-dure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
939,,7610200375803,/plats-cuisines/pizza-menus-snacks/sandwiches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
940,,7617015052844,/plats-cuisines/pizza-menus-snacks/sandwiches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
941,,7610327206493,/boissons-chaudes-froides/jus-de-fruits-de-legumes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
942,,7613269303381,/boissons-chaudes-froides/jus-de-fruits-de-legumes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
943,,7610327105031,/boissons-chaudes-froides/jus-de-fruits-de-legumes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
944,,7613269303398,/boissons-chaudes-froides/jus-de-fruits-de-legumes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
945,,76166617,/produits-laitiers-oeufs/creme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
946,,7616600804936,/produits-laitiers-oeufs/creme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
947,Couronne du soleil,7613269607045,/boulangerie/pains,1324.0,1.6,12.0,2.5,49.0,7.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
948,,7613269607052,/boulangerie/pains,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
949,Sun Queen Premium Arachides au goût de Wasabi,7613269288374,/aperitif/noix-grillees,2450.0,1.1,25.0,13.0,32.0,38.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
950,,7613269288381,/aperitif/noix-grillees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
951,Frey Milch extra – Chocolat au lait extra fin,7616500013117,/chocolat/chocolat/tablettes-de-chocolat,2310.0,0.25,8.0,49.0,51.0,35.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
952,,23500440,/chocolat/chocolat/tablettes-de-chocolat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
953,,7616500000827,/chocolat/chocolat/tablettes-de-chocolat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
954,Petits pois,7613269278689,/produits-surgeles/legumes-pommes-de-terre,389.0,0.05,4.0,1.0,10.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
955,,7613269278696,/produits-surgeles/legumes-pommes-de-terre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
956,Chop Stick Soy sauce sweet creamy,7613312045374,/garnitures-ingredients/du-monde-entier/asie,1144.0,3.8,2.5,55.0,63.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,endline
